"time","n1","n2","weight",,,,
"t_0","18","21","3.6530755E-4",,,,
"t_0","12","36","3.724974E-4",,,,
"t_0","31","05","2.3528519E-4",,,,
"t_0","02","14","2.3137376E-4",,,,
"t_0","25","01","2.3187482E-4",,,,
"t_0","16","33","4.461226E-4",,,,
"t_0","12","05","2.3172906E-4",,,,
"t_0","23","19","4.086978E-4",,,,
"t_0","26","31","2.594311E-4",,,,
"t_0","28","11","3.4463505E-4",,,,
"t_0","37","29","4.289735E-4",,,,
"t_0","36","38","3.5948583E-4",,,,
"t_0","29","28","4.2472157E-4",,,,
"t_0","12","40","4.0394563E-4",,,,
"t_0","23","39","4.2285226E-4",,,,
"t_0","03","12","2.0638714E-4",,,,
"t_0","14","37","4.0018195E-4",,,,
"t_0","36","39","3.77077E-4",,,,
"t_0","09","08","2.223099E-4",,,,
"t_0","02","33","2.550781E-4",,,,
"t_0","17","03","1.935726E-4",,,,
"t_0","07","33","2.434231E-4",,,,
"t_0","21","26","2.4097208E-4",,,,
"t_0","32","02","2.4916863E-4",,,,
"t_0","05","37","2.4249582E-4",,,,
"t_0","38","14","3.640225E-4",,,,
"t_0","34","30","4.4169708E-4",,,,
"t_0","18","33","3.9213448E-4",,,,
"t_0","23","13","4.439717E-4",,,,
"t_0","09","10","4.1677695E-4",,,,
"t_0","32","18","3.9254E-4",,,,
"t_0","40","17","3.9995436E-4",,,,
"t_0","36","01","2.0436132E-4",,,,
"t_0","16","21","4.1563465E-4",,,,
"t_0","10","24","3.792334E-4",,,,
"t_0","22","21","3.7035235E-4",,,,
"t_0","25","29","4.471431E-4",,,,
"t_0","37","30","4.1472077E-4",,,,
"t_0","12","08","2.258472E-4",,,,
"t_0","11","26","2.1790602E-4",,,,
"t_0","12","11","3.3741898E-4",,,,
"t_0","04","34","2.4973584E-4",,,,
"t_0","28","31","4.1401034E-4",,,,
"t_0","37","33","4.3403308E-4",,,,
"t_0","13","23","4.439717E-4",,,,
"t_0","12","01","2.130915E-4",,,,
"t_0","06","04","1.359969E-4",,,,
"t_0","28","35","4.0799152E-4",,,,
"t_0","04","08","1.3738922E-4",,,,
"t_0","07","34","2.5332693E-4",,,,
"t_0","03","11","1.7429277E-4",,,,
"t_0","13","21","4.0547567E-4",,,,
"t_0","31","22","3.7751364E-4",,,,
"t_0","39","10","4.393791E-4",,,,
"t_0","07","37","2.3932774E-4",,,,
"t_0","27","05","2.3923784E-4",,,,
"t_0","36","33","4.0168263E-4",,,,
"t_0","13","38","4.013613E-4",,,,
"t_0","24","09","3.2361157E-4",,,,
"t_0","19","03","2.111718E-4",,,,
"t_0","10","39","4.393791E-4",,,,
"t_0","24","28","3.4655313E-4",,,,
"t_0","24","23","3.6516733E-4",,,,
"t_0","33","20","4.4757206E-4",,,,
"t_0","11","13","3.5898355E-4",,,,
"t_0","19","40","3.9190042E-4",,,,
"t_0","13","15","4.5288546E-4",,,,
"t_0","40","26","2.548657E-4",,,,
"t_0","05","04","1.3151848E-4",,,,
"t_0","06","32","2.4562242E-4",,,,
"t_0","38","37","3.9904309E-4",,,,
"t_0","34","33","4.5610717E-4",,,,
"t_0","18","34","4.0987082E-4",,,,
"t_0","12","06","2.1625703E-4",,,,
"t_0","10","16","4.5521458E-4",,,,
"t_0","33","08","2.4687193E-4",,,,
"t_0","20","12","4.1664657E-4",,,,
"t_0","04","32","2.3252498E-4",,,,
"t_0","11","35","3.6365903E-4",,,,
"t_0","02","23","2.4958656E-4",,,,
"t_0","25","09","4.129824E-4",,,,
"t_0","01","20","2.2966764E-4",,,,
"t_0","39","30","4.1329E-4",,,,
"t_0","24","10","3.792334E-4",,,,
"t_0","30","11","3.5374382E-4",,,,
"t_0","17","29","4.0472022E-4",,,,
"t_0","26","33","2.6112143E-4",,,,
"t_0","02","24","2.1014173E-4",,,,
"t_0","01","26","1.3393676E-4",,,,
"t_0","28","08","2.33123E-4",,,,
"t_0","26","32","2.5938626E-4",,,,
"t_0","30","24","3.4480405E-4",,,,
"t_0","32","07","2.4288215E-4",,,,
"t_0","30","07","2.3167249E-4",,,,
"t_0","23","34","4.6286505E-4",,,,
"t_0","38","29","3.9620275E-4",,,,
"t_0","04","35","2.397258E-4",,,,
"t_0","29","12","4.2008402E-4",,,,
"t_0","32","28","4.1548623E-4",,,,
"t_0","26","29","2.6187452E-4",,,,
"t_0","21","15","4.2936607E-4",,,,
"t_0","08","23","2.3914133E-4",,,,
"t_0","22","04","2.1822518E-4",,,,
"t_0","39","27","4.0669984E-4",,,,
"t_0","17","39","3.8461175E-4",,,,
"t_0","36","16","4.0262842E-4",,,,
"t_0","22","23","3.872076E-4",,,,
"t_0","38","31","3.8556586E-4",,,,
"t_0","14","25","4.1441162E-4",,,,
"t_0","37","08","2.3764599E-4",,,,
"t_0","08","33","2.4687193E-4",,,,
"t_0","31","04","2.3810254E-4",,,,
"t_0","31","01","2.191702E-4",,,,
"t_0","12","18","3.766476E-4",,,,
"t_0","03","27","2.266518E-4",,,,
"t_0","18","03","2.1086304E-4",,,,
"t_0","17","13","3.9879224E-4",,,,
"t_0","15","39","4.3144674E-4",,,,
"t_0","24","27","3.5127267E-4",,,,
"t_0","01","35","2.1946714E-4",,,,
"t_0","40","10","4.4331647E-4",,,,
"t_0","04","29","2.4723992E-4",,,,
"t_0","28","36","3.838641E-4",,,,
"t_0","09","16","3.8283045E-4",,,,
"t_0","07","32","2.4288215E-4",,,,
"t_0","33","39","4.1765952E-4",,,,
"t_0","06","25","2.3609902E-4",,,,
"t_0","05","25","2.4699824E-4",,,,
"t_0","08","01","1.17540294E-4",,,,
"t_0","30","10","4.30117E-4",,,,
"t_0","27","31","4.2862303E-4",,,,
"t_0","23","21","4.1199938E-4",,,,
"t_0","22","16","3.9011583E-4",,,,
"t_0","16","35","4.2458635E-4",,,,
"t_0","28","25","4.2746E-4",,,,
"t_0","21","39","3.947343E-4",,,,
"t_0","01","22","2.0032012E-4",,,,
"t_0","04","15","2.510971E-4",,,,
"t_0","17","05","2.1705295E-4",,,,
"t_0","16","08","2.4707516E-4",,,,
"t_0","20","31","4.2689388E-4",,,,
"t_0","03","24","1.8021419E-4",,,,
"t_0","33","25","4.4650937E-4",,,,
"t_0","14","36","3.6787917E-4",,,,
"t_0","34","18","4.0987082E-4",,,,
"t_0","13","28","4.1061474E-4",,,,
"t_0","14","07","2.1987571E-4",,,,
"t_0","03","10","2.3223594E-4",,,,
"t_0","06","15","2.434004E-4",,,,
"t_0","20","08","2.4100406E-4",,,,
"t_0","09","29","3.9545321E-4",,,,
"t_0","03","13","2.2703252E-4",,,,
"t_0","40","37","4.2233246E-4",,,,
"t_0","31","36","3.905926E-4",,,,
"t_0","32","26","2.5938626E-4",,,,
"t_0","17","38","3.5344056E-4",,,,
"t_0","11","40","3.503437E-4",,,,
"t_0","27","14","3.9617665E-4",,,,
"t_0","36","29","3.987342E-4",,,,
"t_0","02","08","1.4009244E-4",,,,
"t_0","32","37","4.296432E-4",,,,
"t_0","20","05","2.4901002E-4",,,,
"t_0","29","39","4.1783202E-4",,,,
"t_0","36","20","3.958533E-4",,,,
"t_0","26","24","2.2162311E-4",,,,
"t_0","18","01","2.0672168E-4",,,,
"t_0","28","09","3.7565333E-4",,,,
"t_0","04","33","2.4092739E-4",,,,
"t_0","12","28","3.9628457E-4",,,,
"t_0","05","38","2.174193E-4",,,,
"t_0","27","18","4.008912E-4",,,,
"t_0","16","23","4.4261027E-4",,,,
"t_0","29","37","4.289735E-4",,,,
"t_0","24","39","3.501695E-4",,,,
"t_0","30","17","3.9185636E-4",,,,
"t_0","05","40","2.3520827E-4",,,,
"t_0","14","17","3.7969233E-4",,,,
"t_0","11","03","1.7429277E-4",,,,
"t_0","12","30","3.9110184E-4",,,,
"t_0","20","13","4.378519E-4",,,,
"t_0","06","20","2.3579743E-4",,,,
"t_0","22","08","2.1775858E-4",,,,
"t_0","07","21","2.2581157E-4",,,,
"t_0","08","32","2.4679612E-4",,,,
"t_0","09","22","3.5597634E-4",,,,
"t_0","25","17","4.122891E-4",,,,
"t_0","03","02","1.3362615E-4",,,,
"t_0","20","40","4.2657484E-4",,,,
"t_0","20","04","2.448329E-4",,,,
"t_0","22","34","4.004471E-4",,,,
"t_0","31","07","2.3672963E-4",,,,
"t_0","27","33","4.3439792E-4",,,,
"t_0","40","33","4.2431217E-4",,,,
"t_0","14","32","4.0192547E-4",,,,
"t_0","37","19","4.028586E-4",,,,
"t_0","03","29","2.3040205E-4",,,,
"t_0","03","19","2.111718E-4",,,,
"t_0","33","15","4.6070214E-4",,,,
"t_0","39","26","2.5102997E-4",,,,
"t_0","22","14","3.5889843E-4",,,,
"t_0","40","28","4.0883978E-4",,,,
"t_0","12","22","3.6053985E-4",,,,
"t_0","04","19","2.258093E-4",,,,
"t_0","28","14","3.9142516E-4",,,,
"t_0","28","37","4.1098037E-4",,,,
"t_0","11","12","3.3741898E-4",,,,
"t_0","27","01","2.2380742E-4",,,,
"t_0","28","30","4.1315707E-4",,,,
"t_0","22","17","3.5676436E-4",,,,
"t_0","24","25","3.719374E-4",,,,
"t_0","10","30","4.30117E-4",,,,
"t_0","02","19","2.4023616E-4",,,,
"t_0","35","36","3.8755345E-4",,,,
"t_0","10","17","4.159987E-4",,,,
"t_0","27","19","4.0709373E-4",,,,
"t_0","16","20","4.377381E-4",,,,
"t_0","26","23","2.6064995E-4",,,,
"t_0","25","16","4.472312E-4",,,,
"t_0","14","38","3.640225E-4",,,,
"t_0","21","17","3.767773E-4",,,,
"t_0","18","27","4.008912E-4",,,,
"t_0","06","11","1.8757574E-4",,,,
"t_0","38","15","4.0454388E-4",,,,
"t_0","09","21","3.748918E-4",,,,
"t_0","20","07","2.4492672E-4",,,,
"t_0","20","06","2.3579743E-4",,,,
"t_0","21","19","3.7723166E-4",,,,
"t_0","19","09","3.6748417E-4",,,,
"t_0","23","26","2.6064995E-4",,,,
"t_0","33","24","3.6352692E-4",,,,
"t_0","21","12","3.8386846E-4",,,,
