"time","n1","n2","weight",,,,
"1949-01-01","Sweden","Bulgaria","1.0",,,,
"1949-01-01","Sweden","Italy","36.0",,,,
"1949-01-01","Denmark","Sweden","54.0",,,,
"1949-01-01","France","Russia","5.0",,,,
"1949-01-01","Russia","Netherlands","7.0",,,,
"1949-01-01","Netherlands","Denmark","14.0",,,,
"1949-01-01","Ireland","Spain","3.0",,,,
"1949-01-01","France","Greece","7.0",,,,
"1949-01-01","Spain","Ireland","1.0",,,,
"1949-01-01","Netherlands","Ireland","6.0",,,,
"1949-01-01","Yugoslavia","Poland","7.0",,,,
"1949-01-01","Norway","Poland","16.0",,,,
"1949-01-01","Denmark","Portugal","5.0",,,,
"1949-01-01","Sweden","Spain","15.0",,,,
"1949-01-01","Hungary","Italy","6.0",,,,
"1949-01-01","Italy","Yugoslavia","17.0",,,,
"1949-01-01","Poland","Netherlands","19.0",,,,
"1949-01-01","Russia","Italy","18.0",,,,
"1949-01-01","Yugoslavia","Netherlands","26.0",,,,
"1949-01-01","Sweden","Norway","45.0",,,,
"1949-01-01","Sweden","Portugal","6.0",,,,
"1949-01-01","Spain","Italy","8.0",,,,
"1949-01-01","Sweden","Denmark","41.0",,,,
"1949-01-01","Sweden","Romania","1.0",,,,
"1949-01-01","Yugoslavia","Hungary","8.0",,,,
"1949-01-01","Bulgaria","Sweden","1.0",,,,
"1949-01-01","Greece","Italy","17.0",,,,
"1949-01-01","Bulgaria","Netherlands","1.0",,,,
"1949-01-01","Sweden","France","64.0",,,,
"1949-01-01","Norway","Hungary","1.0",,,,
"1949-01-01","Hungary","Norway","1.0",,,,
"1949-01-01","Russia","France","1.0",,,,
"1949-01-01","Italy","Russia","17.0",,,,
"1949-01-01","Russia","Denmark","9.0",,,,
"1949-01-01","Netherlands","Poland","27.0",,,,
"1949-01-01","Netherlands","Italy","26.0",,,,
"1949-01-01","Poland","Sweden","33.0",,,,
"1949-01-01","Denmark","Yugoslavia","3.0",,,,
"1949-01-01","Poland","Denmark","16.0",,,,
"1949-01-01","Denmark","Poland","34.0",,,,
"1949-01-01","Norway","Netherlands","27.0",,,,
"1949-01-01","France","Denmark","24.0",,,,
"1949-01-01","Netherlands","Yugoslavia","14.0",,,,
"1949-01-01","Romania","Italy","2.0",,,,
"1949-01-01","Russia","Sweden","21.0",,,,
"1949-01-01","Greece","Denmark","3.0",,,,
"1949-01-01","Yugoslavia","France","8.0",,,,
"1949-01-01","France","Norway","28.0",,,,
"1949-01-01","Sweden","Russia","3.0",,,,
"1949-01-01","Denmark","Netherlands","18.0",,,,
"1950-01-01","Denmark","Poland","26.0",,,,
"1950-01-01","Hungary","Norway","1.0",,,,
"1950-01-01","Romania","Netherlands","1.0",,,,
"1950-01-01","Sweden","Denmark","41.0",,,,
"1950-01-01","France","Hungary","2.0",,,,
"1950-01-01","Denmark","Norway","30.0",,,,
"1950-01-01","Netherlands","Yugoslavia","5.0",,,,
"1950-01-01","Italy","Norway","12.0",,,,
"1950-01-01","Russia","Netherlands","1.0",,,,
"1950-01-01","Sweden","Greece","2.0",,,,
"1950-01-01","Ireland","Greece","5.0",,,,
"1950-01-01","Belgium","Hungary","4.0",,,,
"1950-01-01","Sweden","Hungary","1.0",,,,
"1950-01-01","Denmark","Russia","4.0",,,,
"1950-01-01","Norway","Italy","12.0",,,,
"1950-01-01","Netherlands","Norway","18.0",,,,
"1950-01-01","Yugoslavia","Sweden","3.0",,,,
"1950-01-01","Denmark","Sweden","68.0",,,,
"1950-01-01","France","Belgium","135.0",,,,
"1950-01-01","Norway","Poland","12.0",,,,
"1950-01-01","Belgium","Poland","7.0",,,,
"1950-01-01","Portugal","France","14.0",,,,
"1950-01-01","Italy","Sweden","23.0",,,,
"1950-01-01","Belgium","Greece","1.0",,,,
"1950-01-01","Russia","France","3.0",,,,
"1950-01-01","Romania","Belgium","1.0",,,,
"1950-01-01","Spain","Belgium","10.0",,,,
"1950-01-01","Russia","Norway","8.0",,,,
"1950-01-01","Norway","Denmark","26.0",,,,
"1950-01-01","Netherlands","Denmark","10.0",,,,
"1950-01-01","Netherlands","Romania","2.0",,,,
"1950-01-01","Poland","France","16.0",,,,
"1950-01-01","Portugal","Spain","2.0",,,,
"1950-01-01","Hungary","Netherlands","4.0",,,,
"1950-01-01","Denmark","Belgium","14.0",,,,
"1950-01-01","Italy","Portugal","6.0",,,,
"1950-01-01","Sweden","Poland","40.0",,,,
"1950-01-01","Poland","Sweden","32.0",,,,
"1950-01-01","Spain","Portugal","2.0",,,,
"1950-01-01","Netherlands","Italy","20.0",,,,
"1950-01-01","Sweden","Italy","33.0",,,,
"1950-01-01","Italy","France","67.0",,,,
"1950-01-01","Sweden","Netherlands","53.0",,,,
"1950-01-01","Netherlands","Hungary","7.0",,,,
"1950-01-01","Sweden","Belgium","45.0",,,,
"1950-01-01","Sweden","Norway","35.0",,,,
"1950-01-01","Netherlands","Russia","2.0",,,,
"1950-01-01","Netherlands","Greece","1.0",,,,
"1950-01-01","France","Netherlands","69.0",,,,
"1950-01-01","Netherlands","Ireland","6.0",,,,
"1950-01-01","Denmark","Portugal","5.0",,,,
"1950-01-01","Romania","Italy","3.0",,,,
"1950-01-01","Ireland","Portugal","1.0",,,,
"1950-01-01","Yugoslavia","Italy","25.0",,,,
"1950-01-01","Yugoslavia","Netherlands","8.0",,,,
"1950-01-01","Portugal","Belgium","23.0",,,,
"1950-01-01","Russia","Portugal","1.0",,,,
"1950-01-01","Ireland","Italy","3.0",,,,
"1950-01-01","Ireland","Poland","3.0",,,,
"1950-01-01","Poland","Italy","17.0",,,,
"1950-01-01","France","Denmark","24.0",,,,
"1950-01-01","Norway","Netherlands","31.0",,,,
"1950-01-01","Netherlands","Poland","7.0",,,,
"1950-01-01","Greece","Denmark","5.0",,,,
"1950-01-01","Belgium","France","214.0",,,,
"1950-01-01","Yugoslavia","Denmark","1.0",,,,
"1950-01-01","Greece","Belgium","20.0",,,,
"1950-01-01","Italy","Greece","4.0",,,,
"1950-01-01","France","Ireland","1.0",,,,
"1950-01-01","Bulgaria","Sweden","1.0",,,,
"1950-01-01","Italy","Hungary","10.0",,,,
"1950-01-01","Belgium","Italy","30.0",,,,
"1950-01-01","Spain","Italy","4.0",,,,
"1950-01-01","Spain","Sweden","9.0",,,,
"1950-01-01","Portugal","Italy","3.0",,,,
"1950-01-01","Italy","Russia","15.0",,,,
"1950-01-01","Spain","Netherlands","9.0",,,,
"1950-01-01","Greece","Italy","26.0",,,,
"1950-01-01","France","Sweden","49.0",,,,
"1950-01-01","Ireland","Belgium","7.0",,,,
"1950-01-01","Sweden","Bulgaria","1.0",,,,
"1950-01-01","Spain","Denmark","5.0",,,,
"1950-01-01","Portugal","Sweden","6.0",,,,
"1950-01-01","France","Italy","106.0",,,,
"1950-01-01","France","Yugoslavia","5.0",,,,
"1950-01-01","Netherlands","Sweden","69.0",,,,
"1950-01-01","Yugoslavia","Belgium","4.0",,,,
"1950-01-01","Denmark","France","73.0",,,,
"1950-01-01","France","Spain","28.0",,,,
"1950-01-01","Sweden","Yugoslavia","5.0",,,,
"1950-01-01","Netherlands","Belgium","363.0",,,,
"1950-01-01","Russia","Denmark","1.0",,,,
"1950-01-01","Belgium","Netherlands","188.0",,,,
"1950-01-01","Hungary","Belgium","8.0",,,,
"1950-01-01","Italy","Spain","4.0",,,,
"1950-01-01","Belgium","Norway","10.0",,,,
"1950-01-01","Denmark","Romania","1.0",,,,
"1950-01-01","Russia","Italy","20.0",,,,
"1950-01-01","Russia","Belgium","20.0",,,,
"1950-01-01","Denmark","Yugoslavia","1.0",,,,
"1950-01-01","Ireland","Netherlands","8.0",,,,
"1950-01-01","France","Poland","13.0",,,,
"1950-01-01","Norway","France","44.0",,,,
"1950-01-01","Sweden","Ireland","2.0",,,,
"1950-01-01","Portugal","Netherlands","9.0",,,,
"1950-01-01","Denmark","Netherlands","29.0",,,,
"1950-01-01","Italy","Poland","18.0",,,,
"1950-01-01","Ireland","Norway","1.0",,,,
"1950-01-01","Portugal","Norway","2.0",,,,
"1950-01-01","Ireland","France","7.0",,,,
"1950-01-01","Belgium","Portugal","10.0",,,,
"1950-01-01","Spain","France","31.0",,,,
"1950-01-01","Italy","Denmark","17.0",,,,
"1950-01-01","Netherlands","Spain","12.0",,,,
"1950-01-01","Norway","Russia","10.0",,,,
"1950-01-01","Sweden","Russia","6.0",,,,
"1950-01-01","Sweden","Portugal","5.0",,,,
"1950-01-01","Belgium","Sweden","44.0",,,,
"1950-01-01","Russia","Sweden","22.0",,,,
"1950-01-01","Norway","Portugal","2.0",,,,
"1950-01-01","Netherlands","France","100.0",,,,
"1950-01-01","Greece","Norway","4.0",,,,
"1950-01-01","Poland","Netherlands","9.0",,,,
"1950-01-01","Greece","Netherlands","9.0",,,,
"1950-01-01","Ireland","Sweden","10.0",,,,
"1950-01-01","Norway","Hungary","1.0",,,,
"1950-01-01","Poland","Norway","7.0",,,,
"1950-01-01","Italy","Bulgaria","1.0",,,,
"1950-01-01","Italy","Netherlands","15.0",,,,
"1950-01-01","Spain","Ireland","1.0",,,,
"1950-01-01","Belgium","Ireland","2.0",,,,
"1950-01-01","Norway","Belgium","13.0",,,,
"1950-01-01","Sweden","Spain","10.0",,,,
"1950-01-01","Netherlands","Portugal","5.0",,,,
"1950-01-01","Denmark","Spain","12.0",,,,
"1950-01-01","Greece","France","15.0",,,,
"1950-01-01","Greece","Sweden","16.0",,,,
"1950-01-01","Norway","Sweden","98.0",,,,
"1950-01-01","Belgium","Spain","11.0",,,,
"1950-01-01","France","Norway","16.0",,,,
"1950-01-01","Greece","Yugoslavia","1.0",,,,
"1950-01-01","Hungary","Sweden","1.0",,,,
"1950-01-01","Italy","Belgium","50.0",,,,
"1950-01-01","Portugal","Poland","1.0",,,,
"1950-01-01","Norway","Spain","7.0",,,,
"1950-01-01","Poland","Belgium","8.0",,,,
"1950-01-01","Italy","Yugoslavia","17.0",,,,
"1950-01-01","Ireland","Denmark","2.0",,,,
"1950-01-01","Belgium","Russia","11.0",,,,
"1950-01-01","France","Greece","6.0",,,,
"1950-01-01","Hungary","France","3.0",,,,
"1950-01-01","Portugal","Denmark","2.0",,,,
"1950-01-01","Bulgaria","Italy","2.0",,,,
"1950-01-01","Sweden","France","75.0",,,,
"1950-01-01","Denmark","Hungary","1.0",,,,
"1950-01-01","France","Russia","5.0",,,,
"1950-01-01","Denmark","Italy","17.0",,,,
"1950-01-01","Hungary","Denmark","1.0",,,,
"1950-01-01","Hungary","Italy","8.0",,,,
"1950-01-01","Poland","Denmark","8.0",,,,
"1950-01-01","Spain","Norway","7.0",,,,
"1950-01-01","Belgium","Yugoslavia","5.0",,,,
"1950-01-01","Belgium","Denmark","9.0",,,,
"1950-01-01","France","Portugal","8.0",,,,
"1950-01-01","Ireland","Spain","3.0",,,,
"1950-01-01","Norway","Greece","1.0",,,,
"1950-01-01","Yugoslavia","France","6.0",,,,
"1951-01-01","Norway","France","40.0",,,,
"1951-01-01","Romania","Italy","4.0",,,,
"1951-01-01","Belgium","Ireland","2.0",,,,
"1951-01-01","Poland","Belgium","10.0",,,,
"1951-01-01","Greece","Norway","3.0",,,,
"1951-01-01","Portugal","Italy","6.0",,,,
"1951-01-01","Belgium","Hungary","2.0",,,,
"1951-01-01","Spain","Portugal","3.0",,,,
"1951-01-01","Denmark","Sweden","86.0",,,,
"1951-01-01","Sweden","Belgium","99.0",,,,
"1951-01-01","Denmark","Norway","38.0",,,,
"1951-01-01","Yugoslavia","Norway","3.0",,,,
"1951-01-01","Norway","Hungary","1.0",,,,
"1951-01-01","Ireland","Italy","6.0",,,,
"1951-01-01","Poland","Sweden","51.0",,,,
"1951-01-01","Norway","Russia","10.0",,,,
"1951-01-01","Belgium","Greece","2.0",,,,
"1951-01-01","Italy","Ireland","2.0",,,,
"1951-01-01","France","Greece","8.0",,,,
"1951-01-01","France","Netherlands","94.0",,,,
"1951-01-01","Yugoslavia","Netherlands","8.0",,,,
"1951-01-01","Portugal","Denmark","2.0",,,,
"1951-01-01","Yugoslavia","France","14.0",,,,
"1951-01-01","Denmark","Portugal","5.0",,,,
"1951-01-01","Romania","Netherlands","1.0",,,,
"1951-01-01","Spain","Denmark","12.0",,,,
"1951-01-01","France","Hungary","2.0",,,,
"1951-01-01","Norway","Belgium","43.0",,,,
"1951-01-01","Russia","France","5.0",,,,
"1951-01-01","Yugoslavia","Belgium","11.0",,,,
"1951-01-01","Denmark","Italy","19.0",,,,
"1951-01-01","Portugal","Sweden","9.0",,,,
"1951-01-01","Ireland","Portugal","2.0",,,,
"1951-01-01","Yugoslavia","Sweden","3.0",,,,
"1951-01-01","Sweden","Hungary","2.0",,,,
"1951-01-01","Ireland","Sweden","17.0",,,,
