"time","n1","n2","weight",,,,
"t_0","19","21","23.032286",,,,
"t_0","28","01","25.209728",,,,
"t_0","32","38","40.91312",,,,
"t_0","12","05","3.6185727",,,,
"t_0","20","31","56.431213",,,,
"t_0","06","34","13.65389",,,,
"t_0","20","36","15.307582",,,,
"t_0","27","30","17.419033",,,,
"t_0","07","29","5.189634",,,,
"t_0","13","09","0.46571192",,,,
"t_0","29","38","23.797916",,,,
"t_0","32","13","12.868864",,,,
"t_0","17","07","6.4326234",,,,
"t_0","03","18","50.136303",,,,
"t_0","22","16","50.66928",,,,
"t_0","40","24","38.485065",,,,
"t_0","02","10","45.18355",,,,
"t_0","25","05","36.87649",,,,
"t_0","10","22","11.308112",,,,
"t_0","07","05","13.777369",,,,
"t_0","25","09","24.786175",,,,
"t_0","20","24","9.821686",,,,
"t_0","24","09","16.255459",,,,
"t_0","36","30","15.226069",,,,
"t_0","17","18","17.93289",,,,
"t_0","13","40","22.79562",,,,
"t_0","32","14","15.318513",,,,
"t_0","36","33","42.131416",,,,
"t_0","13","17","5.596371",,,,
"t_0","01","12","1.4577419",,,,
"t_0","07","20","1.5291774",,,,
"t_0","30","19","14.720477",,,,
"t_0","05","40","29.734455",,,,
"t_0","26","11","22.017706",,,,
"t_0","34","17","27.944265",,,,
"t_0","10","36","10.38378",,,,
"t_0","24","37","3.2364001",,,,
"t_0","40","09","4.1374774",,,,
"t_0","14","01","35.5498",,,,
"t_0","06","14","15.4752655",,,,
"t_0","28","22","4.5093937",,,,
"t_0","30","37","9.893453",,,,
"t_0","29","18","1.1579983",,,,
"t_0","26","27","46.021442",,,,
"t_0","33","06","19.7672",,,,
"t_0","32","16","11.323299",,,,
"t_0","34","05","57.495865",,,,
"t_0","40","35","5.6462984",,,,
"t_0","14","02","24.477423",,,,
"t_0","16","24","2.761709",,,,
"t_0","12","32","22.56145",,,,
"t_0","38","11","20.222485",,,,
"t_0","28","21","32.849552",,,,
"t_0","20","40","31.330431",,,,
"t_0","23","38","35.3734",,,,
"t_0","38","01","3.8094804",,,,
"t_0","04","36","4.4821925",,,,
"t_0","26","06","25.327755",,,,
"t_0","28","20","5.027502",,,,
"t_0","21","18","35.26548",,,,
"t_0","25","29","12.663365",,,,
"t_0","09","06","4.901138",,,,
"t_0","18","29","1.1579983",,,,
"t_0","06","08","15.287417",,,,
"t_0","10","13","4.94982",,,,
"t_0","27","11","8.605638",,,,
"t_0","36","34","41.03634",,,,
"t_0","13","12","6.864366",,,,
"t_0","34","35","2.4005136",,,,
"t_0","24","06","40.81917",,,,
"t_0","18","04","4.588042",,,,
"t_0","15","17","7.5144734",,,,
"t_0","09","17","4.2741365",,,,
"t_0","29","04","12.351529",,,,
"t_0","40","17","1.6644486",,,,
"t_0","07","17","6.4326234",,,,
"t_0","36","13","29.324402",,,,
"t_0","17","21","21.584429",,,,
"t_0","19","34","17.182861",,,,
"t_0","09","18","16.748968",,,,
"t_0","33","02","34.821213",,,,
"t_0","29","37","44.736813",,,,
"t_0","05","37","21.157055",,,,
"t_0","29","20","41.058224",,,,
"t_0","38","13","14.429528",,,,
"t_0","29","14","18.061949",,,,
"t_0","27","26","46.021442",,,,
"t_0","05","18","23.3318",,,,
"t_0","23","22","13.309435",,,,
"t_0","37","23","9.212859",,,,
"t_0","27","18","9.646246",,,,
"t_0","04","10","21.695398",,,,
"t_0","24","36","30.848745",,,,
"t_0","32","40","3.6764684",,,,
"t_0","08","30","20.732353",,,,
"t_0","40","11","11.786969",,,,
"t_0","33","07","14.016581",,,,
"t_0","11","29","5.2736487",,,,
"t_0","38","25","23.921974",,,,
"t_0","01","35","21.745058",,,,
"t_0","29","08","22.39161",,,,
"t_0","40","20","31.330431",,,,
"t_0","13","15","7.668315",,,,
"t_0","40","26","16.102352",,,,
"t_0","35","36","38.314796",,,,
"t_0","37","32","23.278996",,,,
"t_0","10","30","25.473562",,,,
"t_0","32","07","28.522404",,,,
"t_0","11","20","9.441542",,,,
"t_0","35","38","10.977652",,,,
"t_0","02","27","47.64175",,,,
"t_0","23","10","31.375942",,,,
"t_0","29","27","31.371946",,,,
"t_0","38","03","9.942518",,,,
"t_0","27","40","15.066233",,,,
"t_0","14","12","23.233028",,,,
"t_0","34","01","44.885975",,,,
"t_0","23","15","17.265781",,,,
"t_0","17","37","29.352695",,,,
"t_0","02","22","10.6592455",,,,
"t_0","19","25","35.27119",,,,
"t_0","17","13","5.596371",,,,
"t_0","18","05","23.3318",,,,
"t_0","21","37","3.689188",,,,
"t_0","30","08","20.732353",,,,
"t_0","18","28","15.131858",,,,
"t_0","23","20","50.394634",,,,
"t_0","04","34","23.377073",,,,
"t_0","24","05","20.069689",,,,
"t_0","26","36","2.796144",,,,
"t_0","16","14","7.698514",,,,
"t_0","34","32","0.61595654",,,,
"t_0","03","32","2.9138753",,,,
"t_0","30","21","3.019102",,,,
"t_0","13","27","13.890024",,,,
"t_0","14","16","7.698514",,,,
"t_0","40","13","22.79562",,,,
"t_0","19","38","36.62649",,,,
"t_0","02","06","4.994972",,,,
"t_0","09","37","10.7108345",,,,
"t_0","09","04","9.891734",,,,
"t_0","34","20","24.818827",,,,
"t_0","16","15","15.629",,,,
"t_0","32","03","2.9138753",,,,
"t_0","15","31","1.5785221",,,,
"t_0","29","23","41.182476",,,,
"t_0","18","37","21.978731",,,,
"t_0","22","07","8.490491",,,,
"t_0","20","37","39.86866",,,,
"t_0","23","17","23.554441",,,,
"t_0","22","12","9.82424",,,,
"t_0","07","37","1.6193461",,,,
"t_0","20","22","0.96882117",,,,
"t_0","13","25","4.1395736",,,,
"t_0","24","25","15.517935",,,,
"t_0","21","28","32.849552",,,,
"t_0","10","08","9.262474",,,,
"t_0","06","32","10.2777605",,,,
"t_0","13","29","5.9497643",,,,
"t_0","04","30","34.983612",,,,
"t_0","24","20","9.821686",,,,
"t_0","13","32","12.868864",,,,
"t_0","05","26","25.00543",,,,
"t_0","25","08","15.394631",,,,
"t_0","30","02","37.969673",,,,
"t_0","13","11","33.087406",,,,
"t_0","35","01","21.745058",,,,
"t_0","19","30","14.720477",,,,
"t_0","34","36","41.03634",,,,
"t_0","40","36","21.446636",,,,
"t_0","15","35","43.46869",,,,
"t_0","35","22","8.390741",,,,
"t_0","08","31","34.325687",,,,
"t_0","20","16","24.528229",,,,
"t_0","36","38","10.983443",,,,
"t_0","24","12","42.31064",,,,
"t_0","08","14","44.512657",,,,
"t_0","11","26","22.017706",,,,
"t_0","31","07","5.376119",,,,
"t_0","34","07","25.496939",,,,
"t_0","27","34","0.9555437",,,,
"t_0","34","22","1.5771165",,,,
"t_0","18","25","14.298739",,,,
"t_0","22","01","20.772867",,,,
"t_0","03","38","9.942518",,,,
"t_0","37","20","39.86866",,,,
"t_0","07","33","14.016581",,,,
"t_0","22","38","35.877045",,,,
"t_0","02","38","2.3552804",,,,
"t_0","20","25","8.382288",,,,
"t_0","21","16","37.26577",,,,
"t_0","24","18","7.6044335",,,,
"t_0","26","24","11.778408",,,,
"t_0","19","09","6.2833095",,,,
"t_0","37","39","22.323606",,,,
"t_0","01","06","42.36361",,,,
"t_0","39","22","18.69394",,,,
"t_0","32","06","10.2777605",,,,
"t_0","02","39","5.889684",,,,
"t_0","17","26","13.918908",,,,
"t_0","01","17","24.973028",,,,
"t_0","24","04","1.3147125",,,,
"t_0","07","38","15.99238",,,,
"t_0","25","07","0.3116982",,,,
"t_0","21","15","5.5732956",,,,
"t_0","16","07","18.786695",,,,
"t_0","39","31","6.6543283",,,,
"t_0","14","40","23.02439",,,,
"t_0","32","26","7.0253034",,,,
"t_0","17","22","24.406792",,,,
"t_0","26","14","18.942799",,,,
"t_0","15","24","17.710533",,,,
"t_0","14","06","15.4752655",,,,
"t_0","05","25","36.87649",,,,
"t_0","22","26","54.626297",,,,
"t_0","36","18","15.87018",,,,
"t_0","32","36","57.724323",,,,
"t_0","15","30","49.205673",,,,
"t_0","10","26","28.100616",,,,
"t_0","31","10","32.394505",,,,
"t_0","38","34","47.572075",,,,
"t_0","37","16","31.99308",,,,
"t_0","08","03","16.132187",,,,
"t_0","01","11","7.157754",,,,
"t_0","28","27","13.85225",,,,
"t_0","38","35","10.977652",,,,
"t_0","08","33","31.386703",,,,
"t_0","01","28","25.209728",,,,
"t_0","26","33","6.2680335",,,,
"t_0","26","23","30.812803",,,,
"t_0","05","33","24.584932",,,,
"t_0","07","30","28.66959",,,,
"t_0","04","26","19.668798",,,,
"t_0","26","22","54.626297",,,,
"t_0","16","27","14.645759",,,,
"t_0","13","26","6.851209",,,,
"t_0","18","34","38.518013",,,,
"t_0","12","29","36.55572",,,,
"t_0","11","14","6.111758",,,,
"t_0","26","08","6.453912",,,,
"t_0","13","38","14.429528",,,,
"t_0","09","13","0.46571192",,,,
"t_0","21","19","23.032286",,,,
"t_0","28","18","15.131858",,,,
"t_0","36","20","15.307582",,,,
"t_0","30","12","26.111734",,,,
"t_0","40","33","30.325195",,,,
"t_0","29","01","1.7126694",,,,
"t_0","01","10","47.747654",,,,
"t_0","07","06","33.837555",,,,
"t_0","29","07","5.189634",,,,
"t_0","30","24","0.43893266",,,,
"t_0","38","20","8.67666",,,,
"t_0","05","20","9.786295",,,,
"t_0","26","35","12.137966",,,,
"t_0","29","40","22.309282",,,,
"t_0","28","12","22.011772",,,,
"t_0","06","24","40.81917",,,,
"t_0","24","35","33.302578",,,,
"t_0","25","24","15.517935",,,,
"t_0","05","13","0.7214878",,,,
"t_0","28","07","8.065681",,,,
"t_0","04","29","12.351529",,,,
"t_0","10","28","2.7680767",,,,
"t_0","21","08","33.495327",,,,
"t_0","37","13","30.288847",,,,
"t_0","17","15","7.5144734",,,,
"t_0","30","27","17.419033",,,,
"t_0","04","35","13.051106",,,,
"t_0","18","02","42.549297",,,,
"t_0","20","34","24.818827",,,,
"t_0","17","30","28.177467",,,,
"t_0","32","25","11.238435",,,,
"t_0","21","25","28.892576",,,,
"t_0","31","20","56.431213",,,,
"t_0","34","28","55.523277",,,,
"t_0","02","11","15.617149",,,,
"t_0","25","13","4.1395736",,,,
"t_0","37","08","25.117964",,,,
"t_0","20","28","5.027502",,,,
"t_0","40","29","22.309282",,,,
"t_0","08","37","25.117964",,,,
"t_0","38","27","13.453508",,,,
"t_0","32","31","1.5630736",,,,
"t_0","12","40","9.417911",,,,
"t_0","40","19","15.335159",,,,
"t_0","07","34","25.496939",,,,
"t_0","23","02","35.458504",,,,
"t_0","29","06","7.613355",,,,
"t_0","34","06","13.65389",,,,
"t_0","09","39","3.5972915",,,,
"t_0","10","03","9.336164",,,,
"t_0","27","13","13.890024",,,,
"t_0","29","25","12.663365",,,,
"t_0","40","32","3.6764684",,,,
"t_0","10","01","47.747654",,,,
"t_0","26","01","2.2580972",,,,
"t_0","24","01","4.3989067",,,,
"t_0","19","36","36.58123",,,,
"t_0","23","05","24.23273",,,,
"t_0","22","02","10.6592455",,,,
"t_0","11","01","7.157754",,,,
